bill_id,congress,bill_type,bill_number,title,title_ai,introduced_date,status,sponsor_bioguide,sponsor_name,sponsor_party,sponsor_state,latest_action_date,latest_action_text,cosponsor_count
hr7038-119,119,HR,H.R.7038,Protecting Taxpayers from Risky Investments in Venezuela Act,Safeguard taxpayers from risky Venezuela investments,,active,L000593,Mike Levin,Democratic,CA,,,0
hr2196-119,119,HR,H.R.2196,To provide for an extension of the legislative authority of the National Emergency Medical Services Memorial Foundation to establish a commemorative work in the District of Columbia and its environs.,Extend authority for EMS memorial in DC area,,active,H001067,Richard Hudson,Republican,NC,,,0
hr2979-119,119,HR,H.R.2979,BUILD Act of 2025,Build facilities for law enforcement and justice,2025-04-21,active,P000614,Chris Pappas,Democratic,NH,2025-04-22,"Referred to the Subcommittee on Economic Development, Public Buildings, and Emergency Management.",0
hr4671-119,119,HR,H.R.4671,Ensuring Casualty Assistance for our Firefighters Act,Providing aid to injured firefighters,,active,H001090,Josh Harder,Democratic,CA,,,0
hr3838-119,119,HR,H.R.3838,Streamlining Procurement for Effective Execution and Delivery and National Defense Authorization Act for Fiscal Year 2026,Streamline defense procurement for 2026 efficiency,2025-06-09,active,R000575,Mike Rogers,Republican,AL,2025-09-30,Received in the Senate.,1
s2114-119,119,S,S.2114,Commercial Motor Vehicle English Proficiency Act,English requirements for commercial vehicle drivers,2025-06-18,active,M001198,Roger Marshall,Republican,KS,2025-06-18,"Read twice and referred to the Committee on Commerce, Science, and Transportation.",0
hr1269-119,119,HR,H.R.1269,Honoring Our Fallen Heroes Act of 2025,Honor fallen law enforcement heroes,,active,S001205,Mary Gay Scanlon,Democratic,PA,,,0
hr6513-119,119,HR,H.R.6513,MINKS are Superspreaders Act,Prevent minks from spreading diseases environmentally,2025-12-09,active,B001260,Vern Buchanan,Republican,FL,2025-12-09,Referred to the House Committee on Agriculture.,6
hr4084-119,119,HR,H.R.4084,Access to Birth Control Act,Ensuring easy access to birth control,,active,K000385,Robin L. Kelly,Democratic,IL,,,0
hr2961-119,119,HR,H.R.2961,Frederick Douglass Trafficking Victims Prevention and Protection Reauthorization Act of 2025,Renew laws to prevent and protect trafficking victims,2025-04-17,active,S000522,Christopher H. Smith,Republican,NJ,2025-04-17,"Referred to the Committee on the Judiciary, and in addition to the Committee on Education and Workforce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",11
hjres146-119,119,HJRES,H.J.Res.146,Proposing an amendment to the Constitution of the United States requiring Members of Congress to demonstrate competence in American civics.,Require Congress members to pass civics test,2026-01-30,active,H001095,Wesley Hunt,Republican,TX,2026-01-30,Referred to the House Committee on the Judiciary.,0
hres1062-119,119,HRES,H.Res.1062,"Denouncing statements by President Donald J. Trump that he may ""nationalize,"" commandeer, or otherwise assume direct control over elections.",Denouncing Trump's statements on controlling elections,,active,M000687,Kweisi Mfume,Democratic,MD,,,0
hr4525-119,119,HR,H.R.4525,Right to FDA-Approved Medicines Act,Protect right to FDA-approved medicines,,active,R000305,Deborah K. Ross,Democratic,NC,,,0
hr2369-119,119,HR,H.R.2369,PHIT Act of 2025,Tax deductions for health and fitness expenses,,active,K000376,Mike Kelly,Republican,PA,,,0
hr595-119,119,HR,H.R.595,To amend the Convention on Cultural Property Implementation Act to make certain technical corrections to facilitate the lawful trade and collecting of numismatic materials.,Ease legal trading and collecting of coins,2025-01-21,active,V000134,Beth Van Duyne,Republican,TX,2025-01-21,Referred to the House Committee on Ways and Means.,0
hres1070-119,119,HRES,H.Res.1070,Congratulating the Olympians and Paralympians of Michigan who competed in the 2026 Olympics and Paralympics in Italy.,,2026-02-23,active,D000624,Debbie Dingell,Democratic,MI,2026-02-23,"Referred to the Committee on Oversight and Government Reform, and in addition to the Committee on Foreign Affairs, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",12
hr6687-119,119,HR,H.R.6687,DRIVER Act,DRIVER Act,2025-12-12,active,H001086,Diana Harshbarger,Republican,TN,2025-12-12,Referred to the House Committee on Energy and Commerce.,4
hr3272-119,119,HR,H.R.3272,COMPOST Act,COMPOST Act,2025-05-08,active,B001285,Julia Brownley,Democratic,CA,2025-05-08,Referred to the House Committee on Agriculture.,3
s3613-119,119,S,S.3613,Hawai‘i National Cemetery Act,Establish new national cemetery in Hawaii,,active,H001042,Mazie K. Hirono,Democratic,HI,,,0
hr2028-119,119,HR,H.R.2028,REDI Act,REDI Act,2025-03-11,active,B001291,Brian Babin,Republican,TX,2025-03-11,Referred to the House Committee on Education and Workforce.,76
hres1101-119,119,HRES,H.Res.1101,Censuring Representative Tony Gonzales of Texas.,,2026-03-04,active,L000596,Anna Paulina Luna,Republican,FL,2026-03-04,Referred to the House Committee on Ethics.,0
s424-119,119,S,S.424,Retirement Fairness for Charities and Educational Institutions Act of 2025,Fair retirement plans for charities and schools,,active,B001319,Katie Boyd Britt,Republican,AL,,,0
hr5911-119,119,HR,H.R.5911,Crystal Reservoir Conveyance Act,Transfer ownership of Crystal Reservoir lands,,active,H001100,Jeff Hurd,Republican,CO,,,0
hjres149-119,119,HJRES,H.J.Res.149,"Recognizing the 125th anniversary of the Army Nurse Corps, expressing gratitude for members of the Army Nurse Corps for their service to the Nation, and for other purposes.",Honor Army Nurse Corps 125th anniversary service,2026-02-12,active,J000295,David P. Joyce,Republican,OH,2026-02-12,Referred to the House Committee on Armed Services.,0
s3749-119,119,S,S.3749,Expanding WKSI Eligibility Act,Lower stock value threshold for experienced companies,2026-01-29,active,M001243,David McCormick,Republican,PA,2026-01-29,"Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",1
s1935-119,119,S,S.1935,Expanding Access to Palliative Care Act,Make palliative care easier to access,,active,R000608,Jacky Rosen,Democratic,NV,,,0
hr1707-119,119,HR,H.R.1707,Grown in America Act of 2025,Promote American grown products through taxes,2025-02-27,active,K000392,David Kustoff,Republican,TN,2025-02-27,Referred to the House Committee on Ways and Means.,26
hr4275-119,119,HR,H.R.4275,Coast Guard Authorization Act of 2025,Authorize funding for Coast Guard operations,,In Committee,G000546,Sam Graves,Republican,MO,,,0
s2444-119,119,S,S.2444,End Polluter Welfare Act of 2025,End subsidies for polluting companies,,active,S000033,Bernard Sanders,Independent,VT,,,0
hr3360-119,119,HR,H.R.3360,Driver Technology and Pedestrian Safety Act of 2025,Improve pedestrian safety using driver technology,,active,M001225,Kevin Mullin,Democratic,CA,,,0
s3731-119,119,S,S.3731,Cost of Police Misconduct Act of 2026,Mandate police report officer misconduct to Attorney General,2026-01-29,active,K000384,Tim Kaine,Democratic,VA,2026-01-29,Read twice and referred to the Committee on the Judiciary.,0
hr5485-119,119,HR,H.R.5485,Second Chance at Life Act of 2025,Giving people a second chance through healthcare,,In Committee,P000048,August Pfluger,Republican,TX,,,0
s3300-119,119,S,S.3300,ANCHOR Act of 2025,ANCHOR Act,,In Committee,B001243,Marsha Blackburn,Republican,TN,,,0
hr34-119,119,HR,H.R.34,LASSO Act,LASSO Act,,active,G000565,Paul A. Gosar,Republican,AZ,,,0
hr4348-119,119,HR,H.R.4348,"To reauthorize the Kay Hagan Tick Act, and for other purposes.",Renew law to combat tick-borne diseases,2025-07-10,active,S000522,Christopher H. Smith,Republican,NJ,2025-07-10,Referred to the House Committee on Energy and Commerce.,29
hr1246-119,119,HR,H.R.1246,Investing in Rural America Act of 2025,Invest in rural agriculture and communities,2025-02-12,active,F000470,Michelle Fischbach,Republican,MN,2025-03-20,"Referred to the Subcommittee on Commodity Markets, Digital Assets, and Rural Development.",26
hr701-119,119,HR,H.R.701,REDUCE Food Prices Act,,2025-01-23,active,S001207,Mikie Sherrill,Democratic,NJ,2025-01-23,Referred to the House Committee on Ways and Means.,2
hr4790-119,119,HR,H.R.4790,All Aboard Act of 2025,Enhance transportation and public works infrastructure,,active,D000530,Christopher R. Deluzio,Democratic,PA,,,0
hr433-119,119,HR,H.R.433,Department of Education Protection Act,Protect the Department of Education,,active,H001081,Jahana Hayes,Democratic,CT,,,0
hr4954-119,119,HR,H.R.4954,Keep Call Centers in America Act of 2025,Keep call centers in America,,active,M001237,Kristen McDonald Rivet,Democratic,MI,,,0
hr647-119,119,HR,H.R.647,Ensuring Veterans’ Final Resting Place Act of 2025,Ensure veterans' final resting places are protected,,Introduced,Y000067,Rudy Yakym III,Republican,IN,,,0
hr2882-119,119,HR,H.R.2882,Central Coast of California Conservation Act of 2025,Conserve Central Coast California energy resources,2025-04-10,active,P000613,Jimmy Panetta,Democratic,CA,2025-04-10,Referred to the House Committee on Natural Resources.,19
hr5573-119,119,HR,H.R.5573,Combatting Fentanyl Poisonings Act of 2025,Fighting fentanyl poisonings across the country,,active,E000300,Gabe Evans,Republican,CO,,,0
hr1939-119,119,HR,H.R.1939,U.S. Engagement in Sudanese Peace Act,US involvement in Sudan peace efforts,,active,M001137,Gregory W. Meeks,Democratic,NY,,,0
hr3821-119,119,HR,H.R.3821,ADINA Act,ADINA Act,2025-06-06,active,M001234,Kelly Morrison,Democratic,MN,2025-06-06,Referred to the House Committee on Energy and Commerce.,15
hr6980-119,119,HR,H.R.6980,NOVA Act of 2026,NOVA Act,,active,K000391,Raja Krishnamoorthi,Democratic,IL,,,0
hr7792-119,119,HR,H.R.7792,Property Improvement and Manufactured Housing Loan Modernization Act of 2026,,2026-03-04,active,H001047,James A. Himes,Democratic,CT,2026-03-04,Referred to the House Committee on Financial Services.,3
hr7230-119,119,HR,H.R.7230,Buying American Cotton Act of 2026,Buy American Cotton Act,2026-01-22,active,M001210,Gregory F. Murphy,Republican,NC,2026-01-22,Referred to the House Committee on Ways and Means.,51
hr1756-119,119,HR,H.R.1756,Stop Politicians Profiting from War Act of 2025,Prevent politicians from profiting off wars,,active,T000481,Rashida Tlaib,Democratic,MI,,,0
hr155-119,119,HR,H.R.155,Let America Vote Act,Let America Vote Act,,active,F000466,Brian K. Fitzpatrick,Republican,PA,,,0
hr3933-119,119,HR,H.R.3933,Paving the Way for American Industry Act,Build infrastructure for American industry support,2025-06-11,active,S001221,Hillary J. Scholten,Democratic,MI,2025-06-12,Referred to the Subcommittee on Highways and Transit.,0
hr4843-119,119,HR,H.R.4843,CLEAR ID Act,CLEAR ID Act,,active,C001130,Jasmine Crockett,Democratic,TX,,,0
hr6616-119,119,HR,H.R.6616,Clean Water Justice Act,Ensure justice for clean water protection,2025-12-11,active,B001300,Nanette Diaz Barragán,Democratic,CA,2026-02-02,Referred to the Subcommittee on Water Resources and Environment.,0
s3553-119,119,S,S.3553,Where’s WALDO Act,Where’s WALDO Act,,active,E000295,Joni Ernst,Republican,IA,,,0
hr5276-119,119,HR,H.R.5276,Community Bank LIFT Act,Community Bank LIFT Act,,active,K000397,Young Kim,Republican,CA,,,0
hr3680-119,119,HR,H.R.3680,No Corporate Crooks Act,No Corporate Crooks Act,2025-06-03,active,D000530,Christopher R. Deluzio,Democratic,PA,2025-06-03,Referred to the House Committee on Oversight and Government Reform.,8
hr5586-119,119,HR,H.R.5586,TRICARE Transition Transparency Act of 2025,Increase transparency in military health care transitions,2025-09-26,active,K000399,Jennifer A. Kiggans,Republican,VA,2025-09-26,Referred to the House Committee on Armed Services.,0
hres136-119,119,HRES,H.Res.136,"Expressing support for the designation of February 2025 as ""Hawaiian Language Month"" or ""'Ōlelo Hawai'i Month"".",Support February 2025 as Hawaiian Language Month,2025-02-13,active,T000487,Jill N. Tokuda,Democratic,HI,2025-02-13,Referred to the House Committee on Education and Workforce.,5
sres598-119,119,SRES,S.Res.598,"A resolution condemning and calling for the reversal of President Trump's decision to allow the export of advanced artificial intelligence chips to the United Arab Emirates, despite significant risks to national security and just months after the United Arab Emirates signed a secret $500,000,000 deal to buy close to a majority stake in the Trump family crypto company World Liberty Financial.",Condemn AI chip exports to UAE for security risks,,active,W000817,Elizabeth Warren,Democratic,MA,,,0
hres1026-119,119,HRES,H.Res.1026,"Condemning the violent disruption of a religious worship service at Cities Church in St. Paul, Minnesota, reaffirming the constitutional right to religious freedom, and commending the Department of Justice for its prompt investigation.",Condemn church disruption and affirm religious freedom,2026-01-30,active,C001103,"Earl L. ""Buddy"" Carter",Republican,GA,2026-01-30,Referred to the House Committee on the Judiciary.,0
hr3491-119,119,HR,H.R.3491,DeOndra Dixon INCLUDE Project Act of 2025,Boost healthcare inclusion for people with disabilities,2025-05-19,active,D000197,Diana DeGette,Democratic,CO,2025-05-19,Referred to the House Committee on Energy and Commerce.,17
s3417-119,119,S,S.3417,Main Street Lending Improvement Act of 2025,Improve lending for Main Street businesses,,active,J000312,James C. Justice,Republican,WV,,,0
hr3410-119,119,HR,H.R.3410,Supersonic Aviation Modernization Act,Modernize supersonic aviation technology,2025-05-14,active,N000026,Troy E. Nehls,Republican,TX,2025-12-18,Ordered to be Reported (Amended) by Voice Vote.,0
hr726-119,119,HR,H.R.726,Crow Tribe Water Rights Settlement Amendments Act of 2025,Update water rights for Crow Tribe,,active,D000634,Troy Downing,Republican,MT,,,0
s539-119,119,S,S.539,PROTECT Our Children Reauthorization Act of 2025,Renew child protection laws for safety,2025-02-12,Introduced,C001056,John Cornyn,Republican,TX,2025-05-20,Placed on Senate Legislative Calendar under General Orders. Calendar No. 80.,0
hr4581-119,119,HR,H.R.4581,340B PATIENTS Act of 2025,Make drug discounts work better for patients,,active,M001163,Doris O. Matsui,Democratic,CA,,,0
hr4714-119,119,HR,H.R.4714,End Polluter Welfare Act of 2025,End subsidies for polluting companies,,active,O000173,Ilhan Omar,Democratic,MN,,,0
hr6012-119,119,HR,H.R.6012,FARE Act,FARE Act,,active,M001196,Seth Moulton,Democratic,MA,,,0
hr7785-119,119,HR,H.R.7785,Protecting Our Communities Act,,2026-03-04,active,B001281,Joyce Beatty,Democratic,OH,2026-03-04,"Referred to the Committee on the Judiciary, and in addition to the Committee on Homeland Security, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",0
hr6460-119,119,HR,H.R.6460,Recreational Drone Empowerment Act,Encourage recreational drone flying for fun,2025-12-04,active,M000871,Tracey Mann,Republican,KS,2025-12-18,Ordered to be Reported by Voice Vote.,0
s759-119,119,S,S.759,Modernizing Access to Our Public Oceans Act,Update access to public oceans,2025-02-26,active,C001098,Ted Cruz,Republican,TX,2025-09-11,Held at the desk.,1
hres892-119,119,HRES,H.Res.892,"Authorizing the Speaker of the House of Representatives to initiate or intervene in civil actions on behalf of the House of Representatives regarding section 213 of title II of division C of the Continuing Appropriations, Agriculture, Legislative Branch, Military Construction and Veterans Affairs, and Extensions Act, 2026.",Empowers Speaker to sue for House on funding laws,,active,R000612,John W. Rose,Republican,TN,,,0
hr511-119,119,HR,H.R.511,AMERICANS Act,AMERICANS Act,,active,H001101,Pat Harrigan,Republican,NC,,,0
hr5517-119,119,HR,H.R.5517,Northern Border Security Enhancement and Review Act,Enhance and review northern border security,,active,L000600,Nicholas A. Langworthy,Republican,NY,,,0
hr5344-119,119,HR,H.R.5344,Kleptocracy Asset Recovery Rewards Program Act,Rewards program for recovering stolen assets from corrupt leaders,,active,L000562,Stephen F. Lynch,Democratic,MA,,,0
s3310-119,119,S,S.3310,Afghanistan Vetting and Accountability Act of 2025,Background checks for Afghan immigrants and accountability,,In Committee,H001089,Josh Hawley,Republican,MO,,,0
hr3791-119,119,HR,H.R.3791,EMS Counts Act,EMS Counts Act,2025-06-05,active,T000467,Glenn Thompson,Republican,PA,2025-06-05,Referred to the House Committee on Education and Workforce.,0
hr4216-119,119,HR,H.R.4216,Made-in-America Defense Act,Promote American manufacturing for defense products,2025-06-27,active,B001325,Sheri Biggs,Republican,SC,2025-09-03,Received in the Senate and Read twice and referred to the Committee on Foreign Relations.,0
s3854-119,119,S,S.3854,Advanced Weather Model Computing Development Act,Advance weather models with energy and NOAA research,2026-02-12,active,L000570,Ben Ray Luján,Democratic,NM,2026-02-12,"Read twice and referred to the Committee on Commerce, Science, and Transportation.",1
s3717-119,119,S,S.3717,Opportunities in Organic Act,Expand organic certification program for farmers,2026-01-28,active,W000800,Peter Welch,Democratic,VT,2026-01-28,"Read twice and referred to the Committee on Agriculture, Nutrition, and Forestry.",12
hr10-119,119,HR,H.R.10,Reserved for the Speaker.,Reserved for the Speaker,2025-01-03,active,J000299,Mike Johnson,Republican,LA,,,0
hr6518-119,119,HR,H.R.6518,SAF Act,SAF Act,2025-12-09,active,D000629,Sharice Davids,Democratic,KS,2025-12-09,Referred to the House Committee on Ways and Means.,6
hr7514-119,119,HR,H.R.7514,Rural Health Care Facilities Revitalization Act,Revitalize health care facilities in rural areas,2026-02-11,active,S001226,Andrea Salinas,Democratic,OR,2026-02-11,Referred to the House Committee on Agriculture.,3
hr7612-119,119,HR,H.R.7612,End Sanctuary Cities Act of 2026,Prevent officials from blocking immigration enforcement,2026-02-20,active,G000589,Lance Gooden,Republican,TX,2026-02-20,Referred to the House Committee on the Judiciary.,2
hres1015-119,119,HRES,H.Res.1015,Recommending that the House of Representatives find William J. Clinton and Hillary R. Clinton in contempt of Congress for refusal to comply with a subpoena duly issued by the Committee on Oversight and Government Reform.,Recommend finding Clintons in contempt for ignoring subpoena,,active,L000596,Anna Paulina Luna,Republican,FL,,,0
s3937-119,119,S,S.3937,"A bill to amend the Sherman Act to prohibit certain entities from purchasing residential real estate, and for other purposes.",Ban certain entities from buying houses,2026-02-26,active,H001089,Josh Hawley,Republican,MO,2026-02-26,Read twice and referred to the Committee on the Judiciary.,1
s3884-119,119,S,S.3884,Small Business ICE Disruption Fund Act,Help businesses hurt by immigration enforcement with grants,2026-02-12,active,M000133,Edward J. Markey,Democratic,MA,2026-02-12,Read twice and referred to the Committee on Small Business and Entrepreneurship.,0
hr7020-119,119,HR,H.R.7020,District of Columbia Courts and Public Defender Service Employment Non-Discrimination Act,Prevent discrimination in DC court employment,2026-01-12,active,N000147,Eleanor Holmes Norton,Democratic,DC,2026-01-12,Referred to the House Committee on Oversight and Government Reform.,0
hr6390-119,119,HR,H.R.6390,Make Housing Affordable and Defend Democracy Act,Make homes affordable and protect democracy,2025-12-03,active,G000585,Jimmy Gomez,Democratic,CA,2025-12-03,"Referred to the Committee on Ways and Means, and in addition to the Committees on Armed Services, Homeland Security, and the Judiciary, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",78
hr5815-119,119,HR,H.R.5815,District of Columbia Medicaid Fairness Act,Ensure fair Medicaid access in Washington D.C,,active,C001115,Michael Cloud,Republican,TX,,,0
hr6409-119,119,HR,H.R.6409,FENCES Act,FENCES Act,2025-12-03,active,P000048,August Pfluger,Republican,TX,2026-01-21,Ordered to be Reported by the Yeas and Nays: 25 - 22.,2
s3882-119,119,S,S.3882,Fair Legal Access Grants Act,Provide grants for legal aid in risk protection orders,2026-02-12,active,G000555,Kirsten E. Gillibrand,Democratic,NY,2026-02-12,Read twice and referred to the Committee on the Judiciary.,0
sjres46-119,119,SJRES,S.J.Res.46,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Environmental Protection Agency relating to ""California State Motor Vehicle and Engine Pollution Control Standards; Heavy-Duty Vehicle and Engine Emission Warranty and Maintenance Provisions; Advanced Clean Trucks; Zero Emission Airport Shuttle; Zero-Emission Power Train Certification; Waiver of Preemption; Notice of Decision"".",Disapprove EPA rule on California vehicle emissions,,active,F000463,Deb Fischer,Republican,NE,,,0
hr6079-119,119,HR,H.R.6079,Social Security Guarantee Act of 2025,Ensure Social Security Benefits Are Guaranteed,2025-11-18,active,B001309,Tim Burchett,Republican,TN,2025-11-18,Referred to the House Committee on Ways and Means.,2
hr3995-119,119,HR,H.R.3995,State Public Option Act,States offer public health insurance option,,active,S001216,Kim Schrier,Democratic,WA,,,0
s3951-119,119,S,S.3951,A bill to provide authority and discretion to the President over budgetary resources to achieve a balanced budget.,Give President authority to balance budget,2026-02-26,active,S001217,Rick Scott,Republican,FL,2026-02-26,Read twice and referred to the Committee on the Budget.,0
hr2911-119,119,HR,H.R.2911,Accounting STEM Pursuit Act of 2025,Promote accounting careers in STEM fields,2025-04-14,In Committee,K000397,Young Kim,Republican,CA,2025-04-14,Referred to the House Committee on Education and Workforce.,38
hr7608-119,119,HR,H.R.7608,Southeast Asian Deportation Relief Act of 2026,Relief from deportation for Southeast Asians,2026-02-20,active,C001080,Judy Chu,Democratic,CA,2026-02-20,Referred to the House Committee on the Judiciary.,32
hr7392-119,119,HR,H.R.7392,"To impose a hiring freeze on United States Immigration and Customs Enforcement, and for other purposes.",Freeze hiring for immigration enforcement agency,2026-02-05,active,F000468,Lizzie Fletcher,Democratic,TX,2026-02-05,Referred to the House Committee on Homeland Security.,22
s3159-119,119,S,S.3159,Preserving Patient Access to Long-Term Care Pharmacies Act,Protect patient access to long term care pharmacies,2025-11-07,active,L000575,James Lankford,Republican,OK,2025-11-07,Read twice and referred to the Committee on Finance.,2
hr3052-119,119,HR,H.R.3052,Agent Orange Relief Act of 2025,Relief for veterans exposed to Agent Orange,2025-04-28,active,T000481,Rashida Tlaib,Democratic,MI,2025-04-30,Sponsor introductory remarks on measure. (CR H1764),15
s390-119,119,S,S.390,BADGES for Native Communities Act,Badges program for Native American communities,2025-02-04,active,C001113,Catherine Cortez Masto,Democratic,NV,2025-12-15,Held at the desk.,0
hr5796-119,119,HR,H.R.5796,BUILD Act,BUILD Act,2025-10-21,active,C001059,Jim Costa,Democratic,CA,2025-12-01,"Referred to the Subcommittee on Economic Development, Public Buildings, and Emergency Management.",2
hr3455-119,119,HR,H.R.3455,Veterans Affairs Distributed Ledger Innovation Act of 2025,Innovate veterans' services using blockchain technology,,active,M000194,Nancy Mace,Republican,SC,,,0
hr5732-119,119,HR,H.R.5732,Keep Air Travel Safe Act,Keep air travel safe,2025-10-10,active,D000624,Debbie Dingell,Democratic,MI,2025-10-10,"Referred to the Committee on Homeland Security, and in addition to the Committee on the Judiciary, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",30
hr7426-119,119,HR,H.R.7426,USDA Express Loan Act of 2026,Quick USDA loans for farmers,2026-02-09,active,F000475,Brad Finstad,Republican,MN,2026-02-09,Referred to the House Committee on Agriculture.,1
s3956-119,119,S,S.3956,"A bill to amend the Internal Revenue Code of 1986 to impose an annual tax on the net value of assets held by a taxpayer, and for other purposes.",Annual tax on net value of assets,2026-03-02,active,S000033,Bernard Sanders,Independent,VT,2026-03-02,Read twice and referred to the Committee on Finance.,0
hr5227-119,119,HR,H.R.5227,Unleashing Low-Cost Rural AI Act,Make affordable AI available in rural areas,2025-09-09,active,C001059,Jim Costa,Democratic,CA,2025-09-09,"Referred to the House Committee on Science, Space, and Technology.",0
hr3045-119,119,HR,H.R.3045,West Bank Violence Prevention Act of 2025,Prevent violence in the West Bank,2025-04-28,active,N000002,Jerrold Nadler,Democratic,NY,2025-04-28,"Referred to the Committee on Foreign Affairs, and in addition to the Committee on the Judiciary, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",128
hr3868-119,119,HR,H.R.3868,Enhanced Background Checks Act of 2025,Strengthen background checks for safety,2025-06-10,active,C000537,James E. Clyburn,Democratic,SC,2025-06-10,Referred to the House Committee on the Judiciary.,130
hr2578-119,119,HR,H.R.2578,Drug Testing for Special Government Employees Act,Require drug tests for special government workers,,active,S001207,Mikie Sherrill,Democratic,NJ,,,0
hr1794-119,119,HR,H.R.1794,United States-Abraham Accords Cooperation and Security Act of 2025,US cooperation and security with Abraham Accords countries,,active,H001086,Diana Harshbarger,Republican,TN,,,0
hres1075-119,119,HRES,H.Res.1075,"Providing for consideration of the bill (H.R. 4626) to amend the Energy Policy and Conservation Act to prohibit the Secretary of Energy from prescribing any new or amended energy conservation standard for a product that is not technologically feasible and economically justified, and for other purposes, and providing for consideration of the bill (H.R. 4758) to repeal provisions of Public Law 117-169 relating to taxpayer subsidies for home electrification, and for other purposes.",,2026-02-24,active,G000568,H. Morgan Griffith,Republican,VA,2026-02-24,Motion to reconsider laid on the table Agreed to without objection.,0
hr1581-119,119,HR,H.R.1581,Fort Monroe National Historical Park Establishment Act,Establish Fort Monroe as national historical park,,active,S000185,"Robert C. ""Bobby"" Scott",Democratic,VA,,,0
hr1255-119,119,HR,H.R.1255,Investing in Our Communities Act,Helping communities through investments,2025-02-12,active,K000392,David Kustoff,Republican,TN,2025-02-12,Referred to the House Committee on Ways and Means.,6
s70-119,119,S,S.70,"A bill to require the imposition of sanctions with respect to Ansarallah and its officials, agents, or affiliates for acts of international terrorism.",Impose sanctions on Ansarallah for terrorism acts,,active,C001098,Ted Cruz,Republican,TX,,,0
s1939-119,119,S,S.1939,BARK Act of 2025,,2025-06-04,active,W000790,Raphael G. Warnock,Democratic,GA,2025-06-04,Read twice and referred to the Committee on the Judiciary.,3
hr1294-119,119,HR,H.R.1294,BEST Facilitation Act,Improve Immigration Border Enforcement Measures,2025-02-13,active,C001133,Juan Ciscomani,Republican,AZ,2025-02-13,Referred to the Subcommittee on Border Security and Enforcement.,4
s2767-119,119,S,S.2767,Gateway Partnership Act,,2025-09-11,active,S001227,Eric Schmitt,Republican,MO,2025-09-11,Read twice and referred to the Committee on Energy and Natural Resources.,0
s723-119,119,S,S.723,Tribal Trust Land Homeownership Act of 2025,Support homeownership on Native American trust lands,2025-02-25,active,T000250,John Thune,Republican,SD,2026-03-04,Motion to reconsider laid on the table Agreed to without objection.,3
s3785-119,119,S,S.3785,North Rim and Kaibab National Forest Restoration Act of 2026,Authorize fast repairs for wildfire-damaged Grand Canyon and Kaibab areas,2026-02-05,active,G000574,Ruben Gallego,Democratic,AZ,2026-02-05,Read twice and referred to the Committee on Energy and Natural Resources.,1
hr2815-119,119,HR,H.R.2815,Cape Fox Land Entitlement Finalization Act of 2025,Finalize Cape Fox land rights entitlement,2025-04-10,active,B001323,Nicholas J. Begich III,Republican,AK,2026-03-03,Message on Senate action sent to the House.,0
s1787-119,119,S,S.1787,Dolores River National Conservation Area and Special Management Area Act,Protect and manage Dolores River conservation areas,,active,B001267,Michael F. Bennet,Democratic,CO,,,0
hres1034-119,119,HRES,H.Res.1034,Relating to questions of privilege in the House of Representatives during the One Hundred Nineteenth Congress.,Handling urgent matters in the House of Representatives,,active,J000301,Dusty Johnson,Republican,SD,,,0
hr7039-119,119,HR,H.R.7039,Stop Executive Renaming for Vanity and Ego (SERVE) Act of 2026,Prohibit naming federal assets after current presidents,2026-01-13,active,M001232,April McClain Delaney,Democratic,MD,2026-01-13,"Referred to the Committee on Transportation and Infrastructure, and in addition to the Committees on Natural Resources, and Oversight and Government Reform, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",7
hr3460-119,119,HR,H.R.3460,AI Whistleblower Protection Act,Protecting whistleblowers who report on AI,,active,O000019,Jay Obernolte,Republican,CA,,,0
hr1085-119,119,HR,H.R.1085,CARGO Act of 2025,CARGO Act,2025-02-06,active,N000026,Troy E. Nehls,Republican,TX,2025-02-06,Referred to the House Committee on Energy and Commerce.,23
hr3062-119,119,HR,H.R.3062,Promoting Cross-border Energy Infrastructure Act,Encourage energy projects across borders,2025-04-29,active,F000482,Julie Fedorchak,Republican,ND,2025-09-19,Received in the Senate and Read twice and referred to the Committee on Energy and Natural Resources.,0
hres1068-119,119,HRES,H.Res.1068,Providing for consideration of the joint resolution (H.J. Res. 143) enabling Congress to advance important policies.,,2026-02-20,active,M000312,James P. McGovern,Democratic,MA,2026-02-20,Referred to the House Committee on Rules.,0
hr1337-119,119,HR,H.R.1337,To add Ireland to the E3 nonimmigrant visa program.,Include Ireland in E3 nonimmigrant visas,2025-02-13,active,N000015,Richard E. Neal,Democratic,MA,2025-02-13,Referred to the House Committee on the Judiciary.,10
